text,label
"Hello, how are you?",neutral
"I am fine, thank you",neutral
"What is your name?",neutral
"My name is John",neutral
"What is your age?",neutral
"I am 20 years old",neutral
"What is your gender?",neutral
"I am male",neutral
"What is your email?",neutral
"My email is john@example.com",neutral
"I absolutely love this product, it exceeded my expectations",positive
"This is the worst purchase I have ever made",negative
"Service was okay, but could be better",neutral
"I am extremely happy with how everything turned out",positive
"I hate it when things don't work as advertised",negative
"Not impressed with the quality",negative
"Fantastic experience, will buy again",positive
"Terrible service, I am very disappointed",negative
"This is not worth the money",negative
"Completely satisfied with my purchase",positive
"Awful, would not recommend to anyone",negative
"I am thrilled with the results",positive
"Very poor quality, broke immediately",negative
"The team was helpful and friendly",positive
"Absolutely regret buying this",negative
"Great value and excellent support",positive
"Never buying from this brand again",negative
"I am delighted with the product",positive
"This ruined my experience completely",negative
"Highly recommend, very satisfied",positive
"Disappointed beyond words",negative
"Love the design and functionality",positive
"Extremely frustrating experience",negative
"The purchase was worth every penny",positive
"This is unacceptable and poorly made",negative
"Enjoying the product daily",positive
"Not as described, very misleading",negative
"Outstanding service and attention to detail",positive
"Completely useless, does not work",negative
"I am very happy with the outcome",positive
"Never experienced such poor support",negative
"Excellent product, works perfectly",positive
"Very dissatisfied, would not buy again",negative
"Product quality is top notch",positive
"This caused me so much trouble",negative
"Love how easy it is to use",positive
"Not functional and a waste of money",negative
"Pleasantly surprised by the results",positive
"I am not satisfied with the product",negative
"Regret purchasing this item",negative
"I am not happy with the product",negative
"I am not satisfied with the product",negative
"I am not happy with the product",negative
"I am not satisfied with the product",negative
"Highly recommend this to everyone",positive
"Extremely disappointed, never again",negative
"Amazing performance and quality",positive
"Terrible, do not waste your money",negative
"I am satisfied and happy",positive
"Product broke after first use",negative
"Fantastic customer support",positive
"Very poor experience, will return it",negative
"Exceeded all my expectations",positive
"Would not recommend, total disappointment",negative
"Love the speed and reliability",positive
"Product did not meet my expectations",negative
"This is okay, nothing special",neutral
"Absolutely fantastic quality",positive
"Customer service was unhelpful",negative
"I am pleased with the purchase",positive
"Never again, extremely bad",negative
"Very impressed with the product",positive
"Regretted buying this immediately",negative
"Highly satisfied with my order",positive
"Not good at all, very frustrating",negative
"The item is acceptable for the price",neutral
"Exceeded my expectations in every way",positive
"Terrible packaging, item was damaged",negative
"I love how it works perfectly",positive
"Extremely poor performance",negative
"Very happy with the delivery and service",positive
"Not worth it, complete waste",negative
"Product is just okay",neutral
"Amazing features and easy to use",positive
"Never buying this again, so disappointed",negative
"I am delighted with the results",positive
"Awful experience, will not return",negative
"Very pleased with my purchase",positive
"Not functioning properly, very bad",negative
"Exceeded expectations and quality is great",positive
"Disappointed, would not recommend",negative
"Happy with the purchase",positive
"Terrible, totally not worth the money",negative
"Product is fine for the price",neutral
"Absolutely love it, works wonderfully",positive
"Very dissatisfied with the support",negative
"Extremely happy with the service",positive
"Regret this purchase deeply",negative
"Customer service went above and beyond",positive
"Item is defective, very poor quality",negative
"Great functionality and design",positive
"Will never buy again, completely useless",negative
"Quality is decent for the cost",neutral
"Amazing, highly recommend to everyone",positive
"Terrible, the product stopped working immediately",negative
"Really happy with the purchase",positive
"Not worth it, extremely disappointed",negative
"Fantastic item and fast shipping",positive
"Completely broke after first use",negative
"Product is acceptable but could be better",neutral
"Excellent quality and amazing performance",positive
"The service was excellent, I am very satisfied",positive
"The service was terrible, I am very dissatisfied",negative
"The service was good, I am satisfied",positive
"The service was bad, I am dissatisfied",negative
"The service was average, I am neutral",neutral
"The service was excellent, I am very satisfied",positive
"The service was terrible, I am very dissatisfied",negative
"The service was good, I am satisfied",positive
"The service was bad, I am dissatisfied",negative
"The service was average, I am neutral",neutral
"Very bad experience with customer support",negative
"Love the features and easy setup",positive
"Not functioning as expected, very frustrating",negative
"Pleasantly surprised with quality",positive
"Extremely disappointed, never again",negative
"Very satisfied with the item",positive
"Item did not match the description",negative
"Works as intended, happy with purchase",positive
"Product failed after a week, very bad",negative
"Good enough for daily use",neutral
"Exceeded my expectations in every way",positive
"Awful experience, completely useless",negative
"Happy with the design and usability",positive
"Never buying from this seller again",negative
"Highly recommend to anyone",positive
"Item is defective and unusable",negative
"Very pleased with quality and service",positive
"Extremely disappointing, total waste",negative
"Good quality, satisfied overall",positive
"Product arrived broken, very poor",negative
"Amazing experience and easy to use",positive
"Not worth the price, very frustrating",negative
"Works perfectly and meets expectations",positive
"Terrible, item is broken already",negative
"Decent quality for the price",neutral
"Fantastic support, very helpful",positive
"Extremely bad experience, will complain",negative
"Love it, best purchase I've made",positive
"Not as described, completely disappointed",negative
"Product is great, very satisfied",positive
"Total waste of money, extremely bad",negative
"Happy with the speed and functionality",positive
"Awful quality, broke immediately",negative
"Excellent, works perfectly as advertised",positive
"Terrible service, will never order again",negative
"Good value, happy with purchase",positive
"Item is faulty, very disappointed",negative
"Highly recommend, excellent product",positive
"Extremely poor quality, regret buying",negative
"Very satisfied with my experience",positive
"Not functioning, extremely frustrated",negative
